frame,timestamp,side,cx,cy,length,angle_deg,brightness,color
0,0.0,left,595.136,217.988,30.581,177.769,0.95,0
0,0.0,left,239.957,216.064,31.844,191.666,0.9,1
0,0.0,right,277.963,214.224,36.921,16.778,0.9,1
0,0.0,left,439.802,197.716,35.482,170.345,0.9,1
0,0.0,right,511.406,201.242,37.491,-12.767,0.9,1
0,0.0,distractor,99.09,241.006,10.118,111.6,0.35,0
1,0.016666666666666666,left,597.954,218.01,32.235,171.932,0.95,0
1,0.016666666666666666,left,241.255,216.836,33.597,196.285,0.9,1
1,0.016666666666666666,right,278.19,215.108,35.165,16.727,0.9,1
1,0.016666666666666666,left,442.369,198.528,36.714,171.978,0.9,1
1,0.016666666666666666,right,511.543,201.123,34.863,-12.517,0.9,1
2,0.03333333333333333,left,599.994,217.569,30.728,172.201,0.95,0
2,0.03333333333333333,left,240.942,217.112,33.673,194.896,0.9,1
2,0.03333333333333333,right,279.84,213.991,37.301,16.583,0.9,1
2,0.03333333333333333,left,443.46,198.232,36.876,170.692,0.9,1
2,0.03333333333333333,right,512.927,200.482,35.621,-6.536,0.9,1
3,0.05,left,603.675,216.07,32.247,176.974,0.95,0
3,0.05,left,241.0,215.154,33.852,197.472,0.9,1
3,0.05,right,281.011,213.186,35.207,13.168,0.9,1
3,0.05,left,445.072,198.524,38.836,172.05,0.9,1
3,0.05,right,512.356,200.739,36.142,-8.416,0.9,1
4,0.06666666666666667,left,607.283,218.235,30.908,172.824,0.95,0
4,0.06666666666666667,left,240.717,215.773,33.485,196.437,0.9,1
4,0.06666666666666667,right,281.199,214.474,34.527,12.876,0.9,1
4,0.06666666666666667,left,445.433,197.906,39.097,171.097,0.9,1
4,0.06666666666666667,right,513.163,200.565,36.13,-9.256,0.9,1
5,0.08333333333333333,left,609.399,216.505,29.598,172.671,0.95,0
5,0.08333333333333333,left,240.862,216.125,32.771,194.192,0.9,1
5,0.08333333333333333,right,282.039,214.057,35.737,13.052,0.9,1
5,0.08333333333333333,left,447.504,197.966,35.68,170.812,0.9,1
5,0.08333333333333333,right,514.93,200.631,34.542,-11.623,0.9,1
6,0.1,left,611.084,218.277,32.366,169.295,0.95,0
6,0.1,left,242.179,216.814,33.262,192.777,0.9,1
6,0.1,right,283.221,214.667,35.376,13.463,0.9,1
6,0.1,left,449.193,199.906,36.605,165.576,0.9,1
6,0.1,right,516.134,200.185,35.376,-10.62,0.9,1
7,0.11666666666666667,left,614.504,217.926,31.398,173.886,0.95,0
7,0.11666666666666667,left,241.57,215.344,34.534,193.966,0.9,1
7,0.11666666666666667,right,284.728,213.374,34.876,12.569,0.9,1
7,0.11666666666666667,left,449.995,198.105,37.36,167.476,0.9,1
7,0.11666666666666667,right,515.615,200.16,36.066,-10.01,0.9,1
7,0.11666666666666667,distractor,542.789,397.923,11.215,85.237,0.35,1
8,0.13333333333333333,left,618.204,217.366,31.122,169.614,0.95,0
8,0.13333333333333333,left,241.673,215.492,34.267,191.374,0.9,1
8,0.13333333333333333,right,285.1,213.951,38.341,12.318,0.9,1
8,0.13333333333333333,left,452.01,198.929,39.192,172.04,0.9,1
8,0.13333333333333333,right,515.319,201.218,32.297,-8.874,0.9,1
9,0.15,left,619.477,216.235,28.889,173.064,0.95,0
9,0.15,left,242.01,215.331,35.335,195.104,0.9,1
9,0.15,right,286.669,212.745,38.477,10.415,0.9,1
9,0.15,left,452.693,198.766,36.927,169.351,0.9,1
9,0.15,right,518.004,200.975,34.052,-12.631,0.9,1
10,0.16666666666666666,left,622.317,218.594,33.171,168.203,0.95,0
10,0.16666666666666666,left,241.302,216.374,34.491,193.366,0.9,1
10,0.16666666666666666,right,286.683,214.267,37.473,11.236,0.9,1
10,0.16666666666666666,left,455.34,199.349,37.08,169.58,0.9,1
10,0.16666666666666666,right,516.793,201.384,34.779,-12.279,0.9,1
11,0.18333333333333332,left,624.728,216.95,31.729,169.684,0.95,0
11,0.18333333333333332,left,242.654,215.824,34.57,192.268,0.9,1
11,0.18333333333333332,right,288.645,213.716,36.137,12.437,0.9,1
11,0.18333333333333332,left,456.983,198.07,37.937,170.771,0.9,1
11,0.18333333333333332,right,519.363,201.4,36.695,-14.28,0.9,1
12,0.2,left,626.836,218.536,31.197,168.138,0.95,0
12,0.2,left,242.679,215.035,34.234,192.169,0.9,1
12,0.2,right,290.344,213.638,36.858,13.406,0.9,1
12,0.2,left,457.227,198.173,38.114,170.993,0.9,1
12,0.2,right,518.593,202.244,36.157,-12.277,0.9,1
13,0.21666666666666667,left,242.417,216.04,34.018,194.288,0.9,1
13,0.21666666666666667,right,289.62,214.18,35.042,10.801,0.9,1
13,0.21666666666666667,left,458.588,198.781,37.404,170.776,0.9,1
13,0.21666666666666667,right,519.835,201.578,34.745,-16.482,0.9,1
14,0.23333333333333334,left,242.753,215.924,33.988,194.265,0.9,1
14,0.23333333333333334,right,291.662,213.879,36.403,11.406,0.9,1
14,0.23333333333333334,left,460.939,197.866,35.439,167.844,0.9,1
14,0.23333333333333334,right,519.423,201.912,34.619,-11.747,0.9,1
14,0.23333333333333334,distractor,465.595,274.608,7.399,96.852,0.35,0
15,0.25,left,242.638,216.23,33.246,196.268,0.9,1
15,0.25,right,292.528,213.114,37.013,11.81,0.9,1
15,0.25,left,462.147,198.1,38.369,168.252,0.9,1
15,0.25,right,520.246,202.117,37.363,-11.699,0.9,1
16,0.26666666666666666,left,242.9,214.931,33.985,190.903,0.9,1
16,0.26666666666666666,right,294.178,214.003,36.475,11.562,0.9,1
16,0.26666666666666666,left,463.883,199.6,37.478,168.482,0.9,1
16,0.26666666666666666,right,520.026,201.063,34.64,-14.598,0.9,1
17,0.2833333333333333,left,242.538,214.288,35.167,195.779,0.9,1
17,0.2833333333333333,right,296.299,213.003,36.234,12.466,0.9,1
17,0.2833333333333333,left,464.656,198.544,38.209,163.374,0.9,1
17,0.2833333333333333,right,520.924,202.567,35.074,-12.15,0.9,1
18,0.3,left,242.506,215.281,34.514,192.665,0.9,1
18,0.3,right,295.75,213.544,35.763,12.143,0.9,1
18,0.3,left,465.864,199.619,38.499,167.217,0.9,1
18,0.3,right,521.31,201.15,37.876,-11.246,0.9,1
19,0.31666666666666665,left,244.118,215.355,34.635,193.929,0.9,1
19,0.31666666666666665,right,296.474,212.993,35.558,12.092,0.9,1
19,0.31666666666666665,left,467.687,198.594,35.41,169.867,0.9,1
19,0.31666666666666665,right,521.512,200.964,35.176,-11.354,0.9,1
20,0.3333333333333333,left,244.919,216.485,34.546,190.702,0.9,1
20,0.3333333333333333,right,298.038,213.165,35.695,10.483,0.9,1
20,0.3333333333333333,left,468.351,199.466,36.74,169.683,0.9,1
20,0.3333333333333333,right,522.44,202.081,33.515,-11.246,0.9,1
21,0.35,left,243.571,214.286,33.526,192.123,0.9,1
21,0.35,right,298.356,213.085,37.765,11.811,0.9,1
21,0.35,left,469.505,198.79,37.02,165.478,0.9,1
21,0.35,right,523.246,202.159,35.838,-11.285,0.9,1
21,0.35,distractor,196.599,79.221,5.115,113.458,0.35,1
22,0.36666666666666664,left,244.675,214.61,33.007,193.302,0.9,1
22,0.36666666666666664,right,299.638,212.304,36.628,10.85,0.9,1
22,0.36666666666666664,left,470.708,199.732,38.362,169.56,0.9,1
22,0.36666666666666664,right,522.582,201.578,34.25,-13.506,0.9,1
23,0.38333333333333336,left,243.525,215.941,35.005,190.442,0.9,1
23,0.38333333333333336,right,300.428,214.209,36.373,12.281,0.9,1
23,0.38333333333333336,left,471.642,200.274,37.922,167.898,0.9,1
23,0.38333333333333336,right,525.391,202.64,36.898,-13.596,0.9,1
