frame,timestamp,observation_id,x_px,y_px,score,color,measurement_valid
0,0.0,candidate_0,271.0416,238.8435,0.86,red,1
0,0.0,candidate_1,421.5826,220.1352,0.91,red,1
0,0.0,candidate_2,88.4974,396.4696,0.65,blue,1
1,0.033333,candidate_0,272.1402,239.231,0.86,red,1
1,0.033333,candidate_1,418.1035,221.8728,0.72,red,1
2,0.066667,candidate_0,273.4813,238.6375,0.86,red,1
2,0.066667,candidate_1,417.7837,224.0731,0.72,red,1
3,0.1,candidate_0,275.4408,241.6188,0.86,red,1
3,0.1,candidate_1,421.1708,226.6182,0.72,red,1
4,0.133333,candidate_0,276.5625,240.5458,0.86,red,1
4,0.133333,candidate_1,417.0368,228.9746,0.72,red,1
5,0.166667,candidate_0,278.6869,241.3852,0.86,red,1
5,0.166667,candidate_1,415.4675,233.4401,0.72,red,1
6,0.2,candidate_0,281.2984,240.1003,0.86,red,1
6,0.2,candidate_1,415.6693,234.0256,0.72,red,1
7,0.233333,candidate_0,283.9628,240.0342,0.86,red,1
7,0.233333,candidate_1,417.7336,235.5357,0.72,red,1
8,0.266667,candidate_0,285.9289,242.7954,0.86,red,1
8,0.266667,candidate_1,412.9791,239.9781,0.72,red,1
9,0.3,candidate_0,287.7414,242.7814,0.86,red,1
9,0.3,candidate_1,410.9351,241.0819,0.72,red,1
10,0.333333,candidate_0,288.2668,243.7794,0.86,red,1
10,0.333333,candidate_1,413.8099,242.0038,0.72,red,1
11,0.366667,candidate_0,290.1442,242.4144,0.86,red,1
11,0.366667,candidate_1,413.4831,246.7467,0.72,red,1
11,0.366667,candidate_2,82.5648,386.8474,0.65,blue,1
12,0.4,candidate_0,291.0246,243.2992,0.86,red,1
12,0.4,candidate_1,411.9636,248.1422,0.72,red,1
13,0.433333,candidate_0,292.6831,243.6648,0.86,red,1
13,0.433333,candidate_1,410.7435,249.7088,0.72,red,1
14,0.466667,candidate_0,297.328,245.6389,0.86,red,1
14,0.466667,candidate_1,408.7685,249.2005,0.72,red,1
15,0.5,candidate_0,295.2714,245.8088,0.86,red,1
15,0.5,candidate_1,406.2387,252.784,0.72,red,1
16,0.533333,candidate_0,298.7715,246.8369,0.86,red,1
16,0.533333,candidate_1,407.4787,253.184,0.72,red,1
17,0.566667,candidate_0,303.0057,247.0827,0.86,red,1
17,0.566667,candidate_1,407.941,256.361,0.91,red,1
18,0.6,candidate_0,302.4127,246.8916,0.86,red,1
18,0.6,candidate_1,405.6948,256.4186,0.72,red,1
19,0.633333,candidate_0,305.0852,249.7997,0.86,red,1
19,0.633333,candidate_1,405.9742,256.5519,0.72,red,1
20,0.666667,candidate_0,306.0245,247.0331,0.86,red,1
20,0.666667,candidate_1,411.2179,254.0528,0.72,red,1
21,0.7,candidate_0,308.1882,247.3746,0.86,red,1
21,0.7,candidate_1,406.5662,254.5298,0.72,red,1
22,0.733333,candidate_0,309.2286,248.4832,0.86,red,1
22,0.733333,candidate_1,402.5372,251.7707,0.72,red,1
22,0.733333,candidate_2,93.8759,389.4369,0.65,blue,1
23,0.766667,candidate_0,310.8692,247.5887,0.86,red,1
23,0.766667,candidate_1,404.5574,253.5219,0.72,red,1
24,0.8,candidate_0,313.315,249.4302,0.86,red,1
24,0.8,candidate_1,401.7036,255.534,0.72,red,1
25,0.833333,candidate_0,315.1306,249.675,0.86,red,1
25,0.833333,candidate_1,402.122,254.2289,0.72,red,1
26,0.866667,candidate_0,317.9698,250.1901,0.86,red,1
26,0.866667,candidate_1,401.7893,252.5906,0.72,red,1
