frame,timestamp_s,observed_timestamp_s,observed_x_px,estimated_velocity_pxps,fixed_processing_delay_s,flight_time_s
0,0.0,0,320.3237,66.61531,0.06,0.085
1,0.016667,0,320.13321,77.42523,0.06,0.045
2,0.033333,0,321.02336,73.00976,0.06,0.045
3,0.05,0,318.4582,68.04342,0.06,0.045
4,0.066667,0.006667,321.50076,74.4711,0.06,0.045
5,0.083333,0.023333,319.29129,69.9696,0.06,0.045
6,0.1,0.04,325.76462,71.77921,0.06,0.045
7,0.116667,0.056667,324.9933,76.48095,0.06,0.045
8,0.133333,0.073333,322.8551,69.65072,0.06,0.045
9,0.15,0.09,326.73266,73.21421,0.06,0.045
10,0.166667,0.106667,329.24593,73.61818,0.06,0.045
11,0.183333,0.123333,327.83899,69.42614,0.06,0.045
12,0.2,0.14,329.97664,71.53446,0.06,0.045
13,0.216667,0.156667,331.44069,74.87671,0.06,0.045
14,0.233333,0.173333,330.40215,72.38428,0.06,0.045
15,0.25,0.19,335.3366,73.52907,0.06,0.045
16,0.266667,0.206667,336.42302,69.26281,0.06,0.045
17,0.283333,0.223333,335.53257,62.21922,0.06,0.045
18,0.3,0.24,337.9042,72.49882,0.06,0.045
19,0.316667,0.256667,339.80513,73.33556,0.06,0.045
20,0.333333,0.273333,338.58005,69.55141,0.06,0.045
21,0.35,0.29,338.34557,72.35664,0.06,0.045
22,0.366667,0.306667,340.8883,69.34596,0.06,0.045
23,0.383333,0.323333,343.01044,69.47333,0.06,0.045
24,0.4,0.34,345.59045,60.98923,0.06,0.045
25,0.416667,0.356667,344.98594,60.33989,0.06,0.045
26,0.433333,0.373333,345.30519,69.45598,0.06,0.045
27,0.45,0.39,345.36523,71.13439,0.06,0.045
28,0.466667,0.406667,348.60382,66.08691,0.06,0.045
29,0.483333,0.423333,349.93664,69.65201,0.06,0.085
30,0.5,0.44,350.45962,70.02986,0.06,0.045
31,0.516667,0.456667,349.69665,79.37799,0.06,0.045
32,0.533333,0.473333,355.71279,77.86311,0.06,0.045
33,0.55,0.49,355.81616,66.5709,0.06,0.045
34,0.566667,0.506667,356.73902,71.55576,0.06,0.045
35,0.583333,0.523333,356.44189,68.32853,0.06,0.045
36,0.6,0.54,357.64281,71.6756,0.06,0.045
37,0.616667,0.556667,360.44449,62.60305,0.06,0.045
38,0.633333,0.573333,361.90795,66.92311,0.06,0.045
39,0.65,0.59,360.91754,69.34453,0.06,0.045
40,0.666667,0.606667,360.45127,70.78771,0.06,0.045
41,0.683333,0.623333,363.64381,69.06958,0.06,0.045
42,0.7,0.64,365.31489,70.08859,0.06,0.045
43,0.716667,0.656667,366.49028,69.10156,0.06,0.045
44,0.733333,0.673333,366.08089,72.89261,0.06,0.045
45,0.75,0.69,368.78263,68.55922,0.06,0.045
46,0.766667,0.706667,369.31736,76.8594,0.06,0.045
47,0.783333,0.723333,371.24986,71.23215,0.06,0.045
48,0.8,0.74,374.78694,71.58301,0.06,0.045
49,0.816667,0.756667,373.11455,74.6941,0.06,0.045
50,0.833333,0.773333,371.6737,77.78056,0.06,0.045
51,0.85,0.79,374.91574,64.73032,0.06,0.045
52,0.866667,0.806667,375.52124,70.20781,0.06,0.045
53,0.883333,0.823333,377.93087,68.4199,0.06,0.045
54,0.9,0.84,378.07627,67.6831,0.06,0.045
55,0.916667,0.856667,379.74994,74.33902,0.06,0.045
56,0.933333,0.873333,381.73301,74.96781,0.06,0.045
57,0.95,0.89,382.51114,70.33524,0.06,0.045
58,0.966667,0.906667,383.7954,71.34727,0.06,0.085
59,0.983333,0.923333,385.66789,66.6893,0.06,0.045
60,1.0,0.94,384.89717,63.73439,0.06,0.045
61,1.016667,0.956667,388.4631,78.47675,0.06,0.045
62,1.033333,0.973333,387.13757,72.95222,0.06,0.045
63,1.05,0.99,387.455,70.45216,0.06,0.045
64,1.066667,1.006667,390.55749,67.39048,0.06,0.045
65,1.083333,1.023333,392.23261,66.27286,0.06,0.045
66,1.1,1.04,392.78441,77.99449,0.06,0.045
67,1.116667,1.056667,395.61136,64.30725,0.06,0.045
68,1.133333,1.073333,393.94966,77.93073,0.06,0.045
69,1.15,1.09,396.81467,59.53871,0.06,0.045
70,1.166667,1.106667,397.61744,53.52961,0.06,0.045
71,1.183333,1.123333,396.65629,70.91374,0.06,0.045
72,1.2,1.14,400.08486,65.21657,0.06,0.045
73,1.216667,1.156667,399.75338,69.89008,0.06,0.045
74,1.233333,1.173333,402.92661,67.13132,0.06,0.045
75,1.25,1.19,403.26646,64.86246,0.06,0.045
76,1.266667,1.206667,404.19068,66.68491,0.06,0.045
77,1.283333,1.223333,407.21624,72.85295,0.06,0.045
